code,LISA_Cluster,LISA_P_Value
E01001136,0,0.478
E01001137,3,0.02
E01001138,3,0.002
E01001139,0,0.283
E01001140,0,0.066
E01001141,0,0.245
E01001142,0,0.161
E01001143,0,0.422
E01001144,0,0.466
E01001145,0,0.303
E01001146,0,0.166
E01001147,0,0.104
E01001148,0,0.07
E01001149,0,0.413
E01001150,0,0.498
E01001151,0,0.068
E01001152,1,0.012
E01001153,0,0.235
E01001154,0,0.317
E01001155,2,0.018
E01001156,3,0.023
E01001157,0,0.225
E01001158,0,0.33
E01001159,0,0.304
E01001160,0,0.428
E01001161,0,0.162
E01001162,0,0.065
E01001163,0,0.058
E01001164,3,0.023
E01001165,0,0.298
E01001166,0,0.216
E01001167,2,0.034
E01001168,0,0.383
E01001169,0,0.263
E01001170,0,0.496
E01001171,0,0.371
E01001172,0,0.476
E01001173,0,0.195
E01001174,1,0.029
E01001175,1,0.004
E01001176,1,0.004
E01001177,1,0.006
E01001178,0,0.067
E01001179,1,0.02
E01001180,1,0.003
E01001181,1,0.031
E01001182,1,0.026
E01001183,1,0.002
E01001184,1,0.014
E01001185,0,0.111
E01001186,0,0.294
E01001187,0,0.305
E01001188,0,0.365
E01001189,0,0.455
E01001190,0,0.455
E01001191,0,0.393
E01001192,0,0.402
E01001193,0,0.483
E01001194,0,0.248
E01001195,0,0.39
E01001196,0,0.326
E01001197,0,0.227
E01001198,0,0.201
E01001199,0,0.496
E01001200,0,0.439
E01001201,0,0.252
E01001202,0,0.483
E01001203,0,0.251
E01001204,0,0.431
E01001205,0,0.493
E01001206,0,0.366
E01001207,0,0.363
E01001208,0,0.414
E01001209,0,0.405
E01001210,0,0.433
E01001211,0,0.303
E01001212,0,0.441
E01001213,1,0.003
E01001214,1,0.004
E01001215,1,0.002
E01001216,0,0.051
E01001217,1,0.003
E01001218,0,0.155
E01001219,0,0.094
E01001220,0,0.35
E01001221,0,0.079
E01001222,0,0.483
E01001223,0,0.088
E01001224,0,0.362
E01001225,0,0.304
E01001226,0,0.362
E01001227,0,0.167
E01001228,0,0.238
E01001229,0,0.419
E01001230,0,0.318
E01001231,0,0.203
E01001232,0,0.266
E01001233,0,0.444
E01001234,0,0.317
E01001235,0,0.397
E01001236,0,0.372
E01001237,0,0.454
E01001238,0,0.433
E01001239,3,0.035
E01001240,3,0.014
E01001241,3,0.033
E01001242,0,0.189
E01001243,0,0.107
E01001244,0,0.421
E01001245,0,0.068
E01001246,0,0.109
E01001247,0,0.127
E01001248,0,0.223
E01001249,0,0.388
E01001250,0,0.173
E01001251,0,0.143
E01001252,0,0.248
E01001253,0,0.353
E01001254,0,0.399
E01001255,0,0.104
E01001257,0,0.467
E01001258,0,0.059
E01001259,1,0.032
E01001260,0,0.433
E01001261,0,0.185
E01001262,0,0.151
E01001263,0,0.373
E01001264,0,0.22
E01001265,0,0.281
E01001266,0,0.474
E01001267,0,0.11
E01001268,0,0.271
E01001269,0,0.332
E01001270,1,0.045
E01001271,0,0.184
E01001272,0,0.119
E01001273,0,0.163
E01001274,0,0.425
E01001275,0,0.19
E01001276,0,0.382
E01001277,0,0.246
E01001278,0,0.117
E01001279,0,0.161
E01001280,0,0.399
E01001281,0,0.202
E01001282,0,0.274
E01001283,0,0.306
E01001284,0,0.188
E01001285,0,0.459
E01001286,0,0.238
E01001287,0,0.3
E01001288,0,0.302
E01001289,0,0.418
E01001290,0,0.483
E01001291,1,0.004
E01001292,1,0.023
E01001293,1,0.002
E01001294,1,0.006
E01001295,1,0.001
E01001296,1,0.002
E01001297,1,0.002
E01001298,1,0.002
E01001299,0,0.327
